,Number of posts in contributers history,Number of contributers
0,0,0
1,1,8745
2,2,3302
3,3,1687
4,4,978
5,5,792
6,6,482
7,7,304
8,8,224
9,9,181
10,10,316
11,11,138
12,12,118
13,13,105
14,14,97
15,15,78
16,16,94
17,17,67
18,18,48
19,19,46
20,20,32
21,21,39
22,22,23
23,23,16
24,24,28
25,25,22
26,26,24
27,27,24
28,28,28
29,29,25
30,30,23
31,31,26
32,32,34
33,33,25
34,34,16
35,35,26
36,36,21
37,37,22
38,38,18
39,39,10
40,40,7
41,41,6
42,42,6
43,43,4
44,44,4
45,45,3
46,46,3
47,47,4
48,48,4
49,49,6
50,50,3
51,51,1
52,52,4
53,53,2
54,54,0
55,55,5
56,56,3
57,57,2
58,58,0
59,59,2
60,60,0
61,61,0
62,62,2
63,63,4
64,64,2
65,65,1
66,66,4
67,67,1
68,68,2
69,69,0
70,70,1
71,71,3
72,72,3
73,73,0
74,74,0
75,75,2
76,76,2
77,77,0
78,78,0
79,79,2
80,80,0
81,81,0
82,82,0
83,83,1
84,84,1
85,85,1
86,86,0
87,87,0
88,88,0
89,89,0
90,90,1
91,91,0
92,92,1
93,93,0
94,94,0
95,95,0
96,96,0
97,97,0
98,98,0
99,99,1
