,Number of posts in contributers history,Number of contributers
0,0,0
1,1,9534
2,2,2876
3,3,1812
4,4,876
5,5,936
6,6,375
7,7,262
8,8,188
9,9,152
10,10,128
11,11,122
12,12,132
13,13,91
14,14,101
15,15,91
16,16,59
17,17,44
18,18,42
19,19,34
20,20,31
21,21,28
22,22,21
23,23,11
24,24,34
25,25,23
26,26,35
27,27,48
28,28,28
29,29,26
30,30,21
31,31,20
32,32,28
33,33,19
34,34,32
35,35,18
36,36,13
37,37,8
38,38,3
39,39,2
40,40,3
41,41,3
42,42,5
43,43,3
44,44,3
45,45,5
46,46,2
47,47,1
48,48,7
49,49,2
50,50,3
51,51,4
52,52,3
53,53,1
54,54,3
55,55,0
56,56,0
57,57,2
58,58,0
59,59,4
60,60,2
61,61,2
62,62,2
63,63,0
64,64,3
65,65,2
66,66,4
67,67,0
68,68,3
69,69,1
70,70,0
71,71,1
72,72,1
73,73,2
74,74,1
75,75,1
76,76,0
77,77,1
78,78,0
79,79,1
80,80,0
81,81,0
82,82,1
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,1
92,92,1
93,93,0
94,94,0
95,95,0
96,96,1
97,97,1
98,98,0
99,99,0
100,100,0
101,101,0
102,102,0
103,103,0
104,104,1
105,105,1
106,106,1
107,107,0
108,108,0
109,109,0
110,110,0
111,111,0
112,112,0
113,113,0
114,114,0
115,115,1
116,116,0
117,117,0
118,118,0
119,119,0
120,120,0
121,121,0
122,122,0
123,123,0
124,124,0
125,125,0
126,126,1
127,127,1
128,128,0
129,129,0
130,130,0
131,131,0
132,132,0
133,133,0
134,134,2
135,135,1
136,136,1
137,137,1
138,138,0
139,139,0
140,140,0
141,141,0
142,142,0
143,143,0
144,144,0
145,145,1
146,146,0
147,147,0
148,148,0
149,149,0
150,150,0
151,151,0
152,152,1
153,153,0
154,154,0
155,155,0
156,156,0
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,0
163,163,0
164,164,0
165,165,0
166,166,0
167,167,0
168,168,1
169,169,0
170,170,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,0
176,176,1
177,177,0
178,178,0
179,179,1
180,180,0
181,181,0
182,182,0
183,183,0
184,184,0
185,185,0
186,186,0
187,187,0
188,188,0
189,189,0
190,190,0
191,191,0
192,192,0
193,193,1
194,194,0
195,195,0
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,0
202,202,0
203,203,1
204,204,0
205,205,0
206,206,0
207,207,0
208,208,0
209,209,0
210,210,0
211,211,0
212,212,0
213,213,0
214,214,0
215,215,0
216,216,0
217,217,0
218,218,0
219,219,0
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,0
226,226,0
227,227,0
228,228,0
229,229,0
230,230,1
231,231,0
232,232,0
233,233,0
234,234,0
235,235,0
236,236,0
237,237,0
238,238,0
239,239,0
240,240,0
241,241,0
242,242,0
243,243,0
244,244,0
245,245,0
246,246,0
247,247,0
248,248,0
249,249,0
250,250,0
251,251,0
252,252,0
253,253,0
254,254,0
255,255,0
256,256,0
257,257,0
258,258,0
259,259,0
260,260,0
261,261,0
262,262,0
263,263,0
264,264,0
265,265,0
266,266,0
267,267,0
268,268,0
269,269,0
270,270,0
271,271,0
272,272,0
273,273,0
274,274,0
275,275,0
276,276,0
277,277,0
278,278,0
279,279,0
280,280,0
281,281,0
282,282,0
283,283,0
284,284,0
285,285,0
286,286,0
287,287,0
288,288,0
289,289,1
290,290,0
291,291,0
292,292,0
293,293,0
294,294,0
295,295,0
296,296,0
297,297,0
298,298,0
299,299,0
300,300,0
301,301,0
302,302,0
303,303,0
304,304,0
305,305,0
306,306,0
307,307,0
308,308,0
309,309,0
310,310,0
311,311,0
312,312,0
313,313,0
314,314,0
315,315,0
316,316,0
317,317,0
318,318,0
319,319,0
320,320,0
321,321,0
322,322,0
323,323,0
324,324,0
325,325,0
326,326,0
327,327,0
328,328,0
329,329,0
330,330,0
331,331,0
332,332,0
333,333,0
334,334,0
335,335,0
336,336,0
337,337,0
338,338,0
339,339,0
340,340,0
341,341,0
342,342,0
343,343,0
344,344,0
345,345,0
346,346,0
347,347,0
348,348,0
349,349,0
350,350,0
351,351,0
352,352,0
353,353,0
354,354,0
355,355,0
356,356,0
357,357,0
